Ticker,Nazwa,Cena,Data,Godzina,Kurs odniesienia,Kurs otwarcia,Max 1D,Min 1D,Wolumen obrotu,Wartość obrotu,Liczba transakcji,Stopa zwrotu 1R,Max 1R,Min 1R,System notowań
KGHM,KGHM Polska Miedź SA (KGH),126.0,2025-05-27,16:34:59,127.3,127.0,127.3,124.5,459494.0,57817000.0,4530.0,-21.06,163.7000(2024-09-26),106.5000(2025-04-09),ciągłe
KRUK,Kruk SA (KRU),420.0,2025-05-27,16:35:01,421.0,420.8,422.8,416.6,22982.0,9650321.0,2228.0,-7.6,476.8000(2024-07-09),352.0000(2025-04-09),ciągłe
LPP,LPP SA (LPP),15620.0,2025-05-27,16:35:03,15625.0,15740.0,15740.0,15430.0,2355.0,36602448.0,1465.0,-9.35,18500.0000(2025-03-06),13670.0000(2024-09-11),ciągłe
MBANK,mBank S.A. (MBK),842.8,2025-05-27,16:35:06,826.4,826.2,844.6,813.4,15781.0,13232393.0,2065.0,32.13,868.6000(2025-04-24),530.0000(2024-11-28),ciągłe
ORANGEPL,Orange Polska S.A. (OPL),9.844,2025-05-27,16:35:08,9.804,9.76,9.898,9.76,323368.0,3185496.0,1234.0,17.24,9.9260(2025-05-21),7.1500(2025-01-14),ciągłe
PEKAO,Bank Polska Kasa Opieki SA (PEO),185.2,2025-05-27,16:35:10,181.8,181.75,185.55,181.1,548434.0,100488952.0,5188.0,13.58,192.6000(2025-04-29),135.6500(2024-11-29),ciągłe
PEPCO,Pepco Group NV (PCO),17.335,2025-05-27,16:35:12,16.965,17.09,17.35,16.84,1089139.0,18572590.0,3996.0,-30.71,24.6000(2024-06-03),14.0250(2025-04-04),ciągłe
PGE,Polska Grupa Energetyczna SA (PGE),9.292,2025-05-27,16:35:14,9.2,9.2,9.338,9.084,1541895.0,14179664.0,3572.0,22.74,9.5940(2025-05-16),5.8440(2024-12-19),ciągłe
PKNORLEN,ORLEN SA (PKN),72.49,2025-05-27,16:35:15,71.9,71.9,72.55,71.25,2790203.0,201476752.0,13969.0,10.1,73.0000(2025-05-13),46.3200(2024-12-17),ciągłe
PKOBP,Powszechna Kasa Oszczędności Bank Polski SA (PKO),77.26,2025-05-27,16:35:17,75.82,75.7,77.34,75.12,1783984.0,136364096.0,7417.0,31.56,80.0400(2025-03-18),49.8400(2024-08-07),ciągłe
PZU,Powszechny Zakład Ubezpieczeń SA (PZU),60.64,2025-05-27,16:35:19,60.5,60.62,60.86,60.12,862246.0,52213544.0,5865.0,21.97,63.3200(2025-05-16),39.1500(2024-09-16),ciągłe
SANPL,Santander Bank Polska SA (SPL),512.6,2025-05-27,16:35:21,509.2,509.2,514.8,508.4,63143.0,32261092.0,2425.0,-0.7,621.0000(2025-04-25),437.2000(2024-11-29),ciągłe
ZABKA,Grupa Żabka SA (ZAB),23.65,2025-05-27,16:35:22,23.58,23.59,23.75,23.46,2128664.0,50178036.0,4679.0,-,24.7450(2025-01-17),17.9000(2024-11-25),ciągłe
